"X."	"tissue_type"	"response_component_original"	"response_comp_orig_cnt"	"response_component"	"response_comp_cnt"	"cell_ontology_id"	"pro_ontology_id"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"adjuvant"	"route"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"short_comment"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"row_key"
""	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell; B cells CD3-/CD19+CD20+; B cells CD3-/CD19+CD20+/IgD-IgM+/CD27+; T cells Cd14-/CD3+/CD4+/IL2+/ENV"	"4"	"plasmacytoid dendritic cell; B cell & CD3-, CD19+, CD20+; IgM memory B cell & CD3-, CD19+, CD20+, CD27+; CD4-positive, alpha-beta T cell & CD14-, CD3+, IL2+, ENV"	"4"	"CL_0000784"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"text (Vaccination with YF-17D induces...), Fig 4C, Fig 5A-B, Fig 5J"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"6"	"108"	"28687661_6_108"
""	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20-/CD3-/NK); NK cells (CD14-/CD20-/CD3-/NK/NKG2A+); NK cells (CD14-/CD20-/CD3-/NK/NKP46+)"	"3"	"natural killer cell & CD14-, CD20-, CD3-; NKGA2-positive natural killer cell & CD14-, CD20-, CD3-; natural killer cell & CD14-, CD20-, CD3-, NKG2-A/B-activating NK receptor+"	"3"	"CL_0000623"	"PR:000001889, PR:000001289, PR:000001020"	"cell type frequency"	"down"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 4D-F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/ "	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"7"	"109"	"28687661_7_109"
""	"peripheral blood mononuclear cell"	"T cells CD3+/CD4+/CD28+; T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/Ki67+"	"3"	"CD4-positive, alpha-beta T cell & CD3+, CD28+; CD4-positive, alpha-beta T cell & CD3+, pKI-67+; CD8-positive, alpha-beta T cell & CD3+, pKI-67+"	"3"	"CL_0000624"	"PR:000001020, PR:000001841"	"cell type frequency"	"down"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	" Fig 5E-F, Fig 5H"	" https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"8"	"110"	"28687661_8_110"
""	"peripheral blood mononuclear cell"	"DC (NK-/CD123)"	"1"	"dendritic cell & CD123+, NK-"	"1"	"CL_0000451"	"PR:000001865"	"cell type frequency"	"up"	"none"	"86"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"86d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 4C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/ "	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"9"	"111"	"28687661_9_111"
""	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+; B cells CD3-/CD19+CD20+/IgD-IgM+/CD27+; B cells CD3-/CD19+CD20+/IgD-IgM-/CD27+; T cells CD14-/CD3+/CD4+/IL2+/NS1"	"4"	"B cell & CD3-, CD19+, CD20+; IgM memory B cell & CD3-, CD19+, CD20+, CD27+; B cell & CD3-, CD19+, CD20+, CD27+, IgD-, IgM-; CD4-positive, alpha-beta T cell & CD14-, CD3+, IL2+, NS1"	"4"	"CL_0000236"	"PR:000001020, PR_000001002, PR:000001289"	"cell type frequency"	"up"	"none"	"86"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"86d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 5A, 5C, 5D, 5I"	" https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"10"	"112"	"28687661_10_112"
""	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20-/CD3-/NK); NK cells (CD14-/CD20-/CD3-/NK/NKG2A+); NK cells (CD14-/CD20-/CD3-/NK/NKP46+)"	"3"	"natural killer cell & CD14-, CD20-, CD3-; NKGA2-positive natural killer cell & CD14-, CD20-, CD3-; natural killer cell & CD14-, CD20-, CD3-, NKG2-A/B-activating NK receptor+"	"3"	"CL_0000623"	"PR:000001889, PR:000001289, PR:000001020"	"cell type frequency"	"down"	"none"	"86"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"86d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 4D, 4E, 4F,"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/ "	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"11"	"113"	"28687661_11_113"
""	"peripheral blood mononuclear cell"	"T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/Ki67+"	"2"	"CD4-positive, alpha-beta T cell & CD3+, pKI-67+; CD8-positive, alpha-beta T cell & CD3+, pKI-67+"	"2"	"CL_0000624"	"PR:000001020, PR:000029630"	"cell type frequency"	"down"	"none"	"86"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"86d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 5F, 5H"	" https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"12"	"114"	"28687661_12_114"
""	"peripheral blood mononuclear cell"	"CD11c-positive DC; plasmacytoid dendritic cell"	"2"	"dendritic cell & CD11c+; plasmacytoid dendritic cell"	"2"	"CL_0000451"	"PR:000001013"	"cell type frequency"	"up"	"none"	"86"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"86d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"text, Fig 4B-C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"13"	"115"	"28687661_13_115"
""	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+"	"1"	"B cell & CD3-, CD19+, CD20+"	"1"	"CL_0000236"	"PR:000001020, PR_000001002, PR:000001289"	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"14d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"14"	"116"	"28687661_14_116"
""	"peripheral blood mononuclear cell"	"DC HLA-DR+CD11c+"	"1"	"dendritic cell & CD11c+, HLA-DR+"	"1"	"CL_0000451"	"PR:000001013"	"cell type frequency"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"flavivirus infected vs naive participants"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 6a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"15"	"117"	"28687661_15_117"
""	"peripheral blood mononuclear cell"	"DC HLA-DR+CD11c+"	"1"	"dendritic cell & CD11c+, HLA-DR+"	"1"	"CL_0000451"	"PR:000001013"	"cell type frequency"	"down"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"flavivirus infected vs naive participants"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 6a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"16"	"118"	"28687661_16_118"
""	"peripheral blood mononuclear cell"	"NK cells NK/CD107a+/K562"	"1"	"natural killer cell & CD107a+, K562 cells"	"1"	"CL_0000623"	"PR:000002060"	"cell type frequency"	"up"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"flavivirus infected vs naive participants"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 6b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"17"	"119"	"28687661_17_119"
""	"peripheral blood mononuclear cell"	"NK cells NK/TNFa+/K562"	"1"	"natural killer cell & TNF-a+, K562 cells"	"1"	"CL_0000623"	"PR:000000134"	"cell type frequency"	"up"	"none"	"86"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"flavivirus infected vs naive participants"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 6b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"18"	"120"	"28687661_18_120"
""	"serum"	"TIV-specific CD8+ GRZ+ T lymphocyte cells"	"1"	"CD8-positive, alpha-beta T cell & GZMB+, TIV-specific"	"1"	"CL_0000625"	"PR:000003499"	"cell type frequency"	"up"	"none"	"21"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Victoria/361/2011(H3N2)); influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"S2 vs S1 as defined by hierarchical clustering of gene expression"	"adults (18-45)"	""	""	"30843873"	"2019"	"Fig 4e"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486343/figure/F4/"	"Clusters S1 and S2 were defined based on hierarchical clustering of gene expression and were shown to be enriched with significantly different levels of influenza specific MN antibodies as well as vaccination routes for d21/d0."	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486343/"	"adults"	"18"	"45"	"years"	"1"	"121"	"30843873_1_121"
""	"serum"	"T cell responder TIV-specific CD8+ GRZ+"	"1"	"CD8-positive, alpha-beta T cell & GZMB+, TIV-specific"	"1"	"CL_0000625"	"PR:000003499"	"cell type frequency"	"up"	"none"	"21"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Victoria/361/2011(H3N2)); influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"S2 vs S1 as defined by hierarchical clustering of gene expression. Both clusters d21/d0, where each cluster was enriched for a different vaccination route and different levels of antibody response. "	"adults (18-45)"	""	""	"30843873"	"2019"	"Fig 3f"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486343/figure/F3/"	"Clusters S1 and S2 were defined based on hierarchical clustering of gene expression and were shown to be enriched with significantly different levels of influenza specific MN antibodies as well as vaccination routes for d21/d0."	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486343/"	"adults"	"18"	"45"	"years"	"2"	"122"	"30843873_2_122"
""	"peripheral blood mononuclear cell"	"CD86+ myeloid dendritic cell (DC)"	"1"	"myeloid dendritic cell & CD86-positive"	"1"	"CL_0000782"	"PR_000001412"	"cell type frequency"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"1d vs 0d"	"adults (18-45)"	""	""	"19029902"	"2009"	"Suppl Fig 1c"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"1"	"123"	"19029902_1_123"
""	"peripheral blood mononuclear cell"	"CD86+ myeloid dendritic cell (DC)"	"1"	"myeloid dendritic cell & CD86-positive"	"1"	"CL_0000782"	"PR_000001412"	"cell type frequency"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"3d vs 1d"	"adults (18-45)"	""	""	"19029902"	"2009"	"Suppl Fig 1c"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"2"	"124"	"19029902_2_124"
""	"peripheral blood mononuclear cell"	"CD86+ myeloid dendritic cell (DC); CD86+ monocyte"	"2"	"myeloid dendritic cell & CD86-positive; monocyte & CD86+"	"2"	"CL_0000782"	"PR_000001412"	"cell type frequency"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"3d vs 0d"	"adults (18-45)"	""	""	"19029902"	"2009"	"Suppl Fig 1c"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"3"	"125"	"19029902_3_125"
""	"peripheral blood mononuclear cell"	"CD86+ myeloid dendritic cell (DC)"	"1"	"myeloid dendritic cell & CD86-positive"	"1"	"CL_0000782"	"PR_000001412"	"cell type frequency"	"up"	"none"	"21"	"days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"21d vs 7d"	"adults (18-45)"	""	""	"19029902"	"2009"	"Suppl Fig 1c"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"4"	"126"	"19029902_4_126"
""	"peripheral blood mononuclear cell"	"CD86+ plasmacytoid dendritic cell (pDC); CD86+ CD16+ inflammatory monocyte"	"2"	"plasmacytoid dendritic cell & CD86+; monocyte & CD86-positive, CD16-positive, inflammatory"	"2"	"CL_0000784"	"PR_000001412 "	"cell type frequency"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d vs 1d"	"adults (18-45)"	""	""	"19029902"	"2009"	"Suppl Fig 1c"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"127"	"19029902_5_127"
""	"peripheral blood mononuclear cell"	"CD4+ T cells"	"1"	"CD4-positive, alpha-beta T cell"	"1"	"CL_0000624"	""	"cell type frequency"	"up"	"none"	"0"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"adults (50-74)"	""	""	"30873150"	"2019"	"Fig 4b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/figure/F4/"	"Caucasion older adults (50-74)"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"adults, seniors"	"50"	"74"	"years"	"1"	"128"	"30873150_1_128"
""	"peripheral blood mononuclear cell"	"NK cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"0"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluarix"	"VO_0000045"	""	"males vs females"	"adults (50-74)"	""	""	"30873150"	"2019"	"Fig 4b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/figure/F4/"	"Caucasion older adults (50-74)"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"adults, seniors"	"50"	"74"	"years"	"2"	"129"	"30873150_2_129"
""	"blood"	"T cells IFNg producing VZV-specific CD4+"	"1"	"CD4-positive, alpha-beta T cell & IFNG+, VZV-specific"	"1"	"CL_0000624"	"PR:000000017"	"cell type frequency"	"up"	"none"	"72"	"hours"	"time of VZV antigen challenge"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"pre-vaccination vs 72hrs post-vaccination"	"adults (70-93)"	""	""	"30247603"	"2018"	"Fig 2e"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F2/"	"-2:1 ratio of female:male"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"1"	"130"	"30247603_1_130"
""	"body skin"	"T cells CD4+; T cells CD8+"	"2"	"CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell"	"2"	"CL_0000624"	""	"cell type frequency"	"up"	"none"	"3"	"days"	"time of VZV antigen challenge"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"pre-vaccination vs 3d post-VZV antigen challenge"	"adults (70-93)"	""	""	"30247603"	"2018"	"Fig 3a-c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F3/ "	"-2:1 ratio of female:male"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"2"	"131"	"30247603_2_131"
""	"body skin"	"T cells CD8+ Ki67+"	"1"	"CD8-positive, alpha-beta T cell & pKI-67+"	"1"	"CL_0000625"	"PR:000029630"	"cell type frequency"	"up"	"none"	"3"	"days"	"time of VZV antigen challenge"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"pre-vaccination vs 3d post-VZV antigen challenge"	"adults (70-93)"	""	""	"30247603"	"2018"	"Fig 4b-c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F4/"	"-2:1 ratio of female:male"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"3"	"132"	"30247603_3_132"
""	"body skin"	"T cells CD4+; T cells CD8+"	"2"	"CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell"	"2"	"CL_0000624"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"time of VZV antigen challenge"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"pre-vaccination vs 7d post-VZV antigen challenge"	"adults (70-93)"	""	""	"30247603"	"2018"	"Fig 3a-c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F3/ "	"-2:1 ratio of female:male"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"4"	"133"	"30247603_4_133"
""	"body skin"	"T cells CD8+ Ki67+"	"1"	"CD8-positive, alpha-beta T cell & pKI-67+"	"1"	"CL_0000625"	"PR:000029630"	"cell type frequency"	"up"	"none"	"7"	"days"	"time of VZV antigen challenge"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"pre-vaccination vs 7d post-VZV antigen challenge"	"adults (70-93)"	""	""	"30247603"	"2018"	"Fig 4b-c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F4/"	"-2:1 ratio of female:male"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"5"	"134"	"30247603_5_134"
""	"body skin"	"T cells CD4+ Tregs Foxp3+"	"1"	"regulatory T cell & FOXP3+"	"1"	"CL_0000815"	"PR_000001350 "	"cell type frequency"	"down"	"none"	"3"	"days"	"time of VZV antigen challenge"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"pre-vaccination vs 3d post-VZV antigen challenge"	"adults (70-93)"	""	""	"30247603"	"2018"	"Fig 4e"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F4/"	"-2:1 ratio of female:male"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"6"	"135"	"30247603_6_135"
""	"body skin"	"T cells CD4+ Tregs Foxp3+"	"1"	"regulatory T cell & FOXP3+"	"1"	"CL_0000815"	"PR_000001350 "	"cell type frequency"	"down"	"none"	"7"	"days"	"time of VZV antigen challenge"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"pre-vaccination vs 7d post-VZV antigen challenge"	"adults (70-93)"	""	""	"30247603"	"2018"	"Fig 4e"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F4/"	"-2:1 ratio of female:male"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"7"	"136"	"30247603_7_136"
""	"peripheral blood mononuclear cell"	"CD3- CD56dim Natural Killer cells"	"1"	"natural killer cell & CD3-, CD56-dim"	"1"	"CL_0000623"	"PR:000001020, PR:000001024"	"cell type frequency"	"up"	"high antibody responders"	"14"	"days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"CN54gp140 "	"VO_0004891"	""	"14d vs 0hr"	"adults (18-45)"	"GLA-AF"	""	"29535712"	"2018"	"Fig 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5834766/figure/F4/"	"-1 intramuscular dose"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5834766/"	"adults"	"18"	"45"	"years"	"1"	"137"	"29535712_1_137"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"1"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"1"	"CL_0000897"	""	"cell type frequency"	"up"	"none"	"30"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d vs 0d"	"young adults (25-40)"	""	""	"28607114"	"2017"	"Fig 1a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"1"	"138"	"28607114_1_138"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"1"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"1"	"CL_0000897"	""	"cell type frequency"	"up"	"none"	"30"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d vs 0d"	"senior adults (60-80)"	""	""	"28607114"	"2017"	"Fig 1a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"2"	"139"	"28607114_2_139"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"1"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"1"	"CL_0000897"	""	"cell type frequency"	"up"	"none"	"90"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d vs 0d"	"young adults (25-40)"	""	""	"28607114"	"2017"	"Fig 1a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"3"	"140"	"28607114_3_140"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"1"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"1"	"CL_0000897"	""	"cell type frequency"	"up"	"none"	"90"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d vs 0d"	"senior adults (60-80)"	""	""	"28607114"	"2017"	"Fig 1a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"4"	"141"	"28607114_4_141"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"1"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"1"	"CL_0000897"	""	"cell type frequency"	"up"	"none"	"180"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d vs 0d"	"senior adults (60-80)"	""	""	"28607114"	"2017"	"Fig 1a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"5"	"142"	"28607114_5_142"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"1"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"1"	"CL_0000897"	""	"cell type frequency"	"up"	"none"	"0"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"young adults vs old adults"	"young adults (25-40), senior adults (60-80)"	""	""	"28607114"	"2017"	"Fig 1a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"6"	"143"	"28607114_6_143"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"1"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"1"	"CL_0000897"	""	"cell type frequency"	"down"	"none"	"180"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"young adults vs old adults"	"adults (25-80)"	""	""	"28607114"	"2017"	"Fig 1a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"7"	"144"	"28607114_7_144"
