	submission_name	submission_date	second_spot_check	spot_check	template_name	tissue_type	tissue_type_term_id	response_component	response_behavior_type	response_behavior	subgroup	time_point	time_point_units	baseline_time	target_pathogen	target_pathogen_taxonid	vaccine_year	exposure_material_text	exposure_material	additional_exposure_material	Group1	addntl_time_point_units	Group0	comparison	number_subjects	cohort	adjuvant	route	scheduling	publication_reference	publication_year	signature_source	signature_source_url	comments	short_comment	process_note	publication_reference_url	age_group	age_min	age_max	age_units	extra_comments
			daniel	Amani: add source, resp components, merged rows		whole blood	UBERON_0000178	HLA-DR++ CD16+ CD14+ monocytes; CCR2+ CD14+ monocytes; CD16+ CD56+ CD3+ Natural Killer cells; CD69+ CD4+ T-cells; CD25high CD4+ T-cells; HLA-DR+ CD4+ T-cells; HLA-DR+ CD8+ T-cells; CD38+ CD8+ T-cells	cell type frequency	down for		7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		2009mv	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	VO_0000160					7d vs 0d	20	adults (21-51)				28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: add source, resp components, merged rows		whole blood	UBERON_0000178	HLA-DR++ CD16+ CD14+ monocytes; CD25+ CD4+ T-cells; CCR3+ CD4+ T-cells; CCR5+ CD4+ T-cells; CXCR3+ CD4+ T-cells; CD69+ CD8+ T-cells; CD25+ CD8+ T-cells; CCR3+ CD8+ T-cells; CD5+ CD19+ B-cells; CD69+ CD19+ B-cells	cell type frequency	up for		30	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		2009mv	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	VO_0000160					30d vs 0d	20	adults (21-51)				28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: added entry		whole blood	UBERON_0000178	CD54+ CD4+ T-cells; CXCR4+ CD4+ T-cells; CD38+ CD8+ T-cells; CCR5+ CD14+ monocytes	cell type frequency	down for		30	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		2009mv	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	VO_0000160					30d vs 0d	20	adults (21-51)				28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: add source, resp components, merged rows		whole blood	UBERON_0000178	CD64+ CD14+ monocytes; CCR2+ CD14+ monocytes; CCR5+ CD14+ monocytes; CD14+ monocytes; CD19+ B-cells; CD5+ CD19+ B-cells; CD69+ CD4+ T-cells; HLA-DR+ CD4+ T-cells; CCR3+ CD4+ T-cells; CCR5+ CD4+ T-cells; CXCR4+ CD4+ T-cells; HLA-DR+ CD8+ T-cells; CXCR3+ CD8+ T-cells; CXCR4+ CD8+ T-cells	cell type frequency	up for		1	day	time of vaccination (first dose)	Influenza A virus (H1N1)		pan	Pandemrix	VO_0000410					1d vs 0d	20	adults (21-51)	AS03 (VO_0001320)			28549970	2017	Fig 2: black bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Amani: add source, resp components, merged rowsErnest, 		whole blood	UBERON_0000178	HLA-DR+ CD8+ T-cells; CD69+ CD8+ T-cells; CXCR4+ CD8+ T-cells; CD19+ CD69+ B-cells; HLA-DR+ CD4+ T-cells; CD69+ CD4+ T-cells; CXCR4+ CD4+ T-cells; CCR3+ CD4+ T-cells; CD16+ CD56+ CD3+ Natural Killer cells	cell type frequency	down for		1	day	time of vaccination (first dose)	Influenza A virus (H1N1)		2009mv	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	VO_0000160					1d vs 0d	20	adults (21-51)				28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: add source, resp components, merged rows		whole blood	UBERON_0000178	HLA-DR++ CD16+ CD14+ monocytes; CD64+ CD14+ monocytes; CD69+ CD4+ T-cells; CD54+ CD4+ T-cells; CCR5+ CD4+ T-cells; CXCR3+ CD4+ T-cells; CD69+ CD8+ T-cells; CD25+ CD8+ T-cells; CCR3+ CD8+ T-cells	cell type frequency	up for		3	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					3d vs 0d	20	adults (21-51)	AS03 (VO_0001320)			28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: add source		whole blood	UBERON_0000178	CD69+ CD19+ B-cells	cell type frequency	down for		3	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					3d vs 0d	20	adults (21-51)	AS03 (VO_0001320)			28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: add source, resp components, merged rowsErnest, 		whole blood	UBERON_0000178	HLA-DR++ CD16+ CD14+ monocytes; CCR2+ CD14+ monocytes; CD69+ CD4+ T-cells; HLA-DR+ CD4+ T-cells; CXCR3+ CD4+ T-cells; CD69+ CD8+ T-cells; CD25+ CD8+ T-cells; HLA-DR+ CD8+ T-cells; CCR3+ CD8+ T-cells	cell type frequency	up for		7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					7d vs 0d	20	adults (21-51)	AS03 (VO_0001320)			28549970	2017	Fig 2: black bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: add source		whole blood	UBERON_0000178	CD16+ CD56+ CD3+ Natural Killer cells	cell type frequency	down for		7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					7d vs 0d	20	adults (21-51)	AS03 (VO_0001320)			28549970	2017	Fig 2: black bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: add source, merged rows		whole blood	UBERON_0000178	HLA-DR++ CD16+ CD14+ monocytes; CD64+ CD14+ monocytes; CCR2+ CD14+ monocytes; CD16+ CD56+ CD3- Natural Killer cells; CXCR4+ CD4+ T-cells; CXCR4+ CD8+ T-cells; CD32+ CD19+ B-cells; CD69+ CD8+ T-cells; CD25+ CD8+ T-cells; CCR3+ CD8+ T-cells	cell type frequency	up for		30	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					30d vs 0d	20	adults (21-51)	AS03 (VO_0001320)			28549970	2017	Fig 2: black bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel: removed  CD16+ CD14+ monocytes, 	Ernest, Amani: add source & resp component, merged rows		whole blood	UBERON_0000178	total CD14+ monocytes;CCR5+ CD14+ monocytes; CD16+ CD56+ CD3+ Natural Killer cells; CD54+ CD4+ T-cells; CCR3+ CD4+ T-cells; CXCR4+ CD4+ T-cells; CD54+ CD8+ T-cells	cell type frequency	down for		30	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					30d vs 0d	20	adults (21-51)	AS03 (VO_0001320)			28549970	2017	Fig 2: black bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel: edited comparison	Amani		peripheral blood mononuclear cell	CL:2000001	plasma cells	cell type frequency	up for	none	1	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					1d vs -7d	178	adults (18-64)	AS03 (GSK)			26726811	2016	Fig 1C-D, Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F1/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel: edited comparison	Amani		peripheral blood mononuclear cell	CL:2000001	monocytes; CD16+ inflammatory monocytes	cell type frequency	up for	none	1	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					1d  vs  prevax	178	adults (18-64)	AS03 (GSK)			26726811	2016	Fig 1C-D, Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F1/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani 		peripheral blood mononuclear cell	CL:2000001	all T-cells; gamma-delta cells; CD8+ T cells; CD4+ T cells	cell type frequency	down for	none	1	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					1d  vs  prevax	178	adults (18-64)	AS03 (GSK)			26726811	2016	Fig 1C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F1/	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani 		peripheral blood mononuclear cell	CL:2000001	plasma cell	cell type frequency	up for	none	7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					7d  vs  prevax	178	adults (18-64)	AS03 (GSK)			26726811	2016	Fig 1D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F1/	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani 		peripheral blood mononuclear cell	CL:2000001	CD69+ gamma-delta T-cell; CD69+ natural killer (NK) cell	cell type frequency	up for		-7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					non-responders vs responders	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 6D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani 		peripheral blood mononuclear cell	CL:2000001	CXCR3+ CD8+ IFN-gamma producing T-cells	cell type frequency	down for	<35yr old	1	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					1d vs 0d	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			.	daniel		peripheral blood mononuclear cell	CL:2000001	CXCR3+ CD8+ IFN-gamma producing T-cells	cell type frequency	down for	<35yr old	1	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					1d-(-7d)	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani 		peripheral blood mononuclear cell	CL:2000001	CD69+ gamma-delta T-cell; CD69+ natural killer (NK) cell	cell type frequency	up for		0	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					non-responders vs responders	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 6D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani 		peripheral blood mononuclear cell	CL:2000001	CD69+ gamma-delta T-cell; CD69+ natural killer (NK) cell	cell type frequency	up for		1	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					non-responders vs responders	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 6D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani 		peripheral blood mononuclear cell	CL:2000001	CD69+ gamma-delta T-cell; CD69+ natural killer (NK) cell	cell type frequency	up for		7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					non-responders vs responders	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 6D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani 		peripheral blood mononuclear cell	CL:2000001	CD69+ gamma-delta T-cell; CD69+ natural killer (NK) cell	cell type frequency	up for		14	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					non-responders vs responders	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 6D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani		peripheral blood mononuclear cell	CL:2000001	CD69+ gamma-delta T-cell; CD69+ natural killer (NK) cell	cell type frequency	up for		63	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					1d vs -7d	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 6D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel	Amani		peripheral blood mononuclear cell	CL:2000001	CD38+ CD8+ T-cells	cell type frequency	down for		0	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					-7d vs 0d, negatively correlated with age	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel: edited comparison (removed time point)	Amani		peripheral blood mononuclear cell	CL:2000001	CD45RO+ CCR7+ central memory CD4 cells; CD45RO+ CCR7+ central memory CD8 cells	cell type frequency	up for		-7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					<35yr old vs >35yr old	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel: edited comparison (removed time point)	Amani		peripheral blood mononuclear cell	CL:2000001	CD45RO+ CCR7+ central memory CD4 cells; CD45RO+ CCR7+ central memory CD8 cells	cell type frequency	up for		0	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					<35yr old vs >35yr old	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel: edited comparison (removed time point)	Amani		peripheral blood mononuclear cell	CL:2000001	CD45RO+ CCR7+ central memory CD4 cells; CD45RO+ CCR7+ central memory CD8 cells	cell type frequency	up for		1	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					<35yr old vs >35yr old	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel: edited comparison (removed time point)	Amani		peripheral blood mononuclear cell	CL:2000001	CD45RO+ CCR7+ central memory CD4 cells; CD45RO+ CCR7+ central memory CD8 cells	cell type frequency	up for		7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					<35yr old vs >35yr old	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel: edited comparison (removed time point)	Amani		peripheral blood mononuclear cell	CL:2000001	CD45RO+ CCR7+ central memory CD4 cells; CD45RO+ CCR7+ central memory CD8 cells	cell type frequency	up for		14	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					<35yr old vs >35yr old	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel: edited comparison (removed time point)	Amani		peripheral blood mononuclear cell	CL:2000001	CD45RO+ CCR7+ central memory CD4 cells; CD45RO+ CCR7+ central memory CD8 cells	cell type frequency	up for		63	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					<35yr old vs >35yr old	178	adults (18-64)	AS03 (GSK)			26726811	2016	Suppl Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
			daniel: added subgroup	Amani: moved from up top, added source		peripheral blood mononuclear cell	CL:2000001	CD8+ CXCR3+ alpha-beta regulatory T cell	cell type frequency	down for	<35yr old	1	day	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					1d vs 0d	178	adults (18-35)	AS03 (GSK)			26726811	2016	Supp Fig 5b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults	18	35	years	
			daniel	Amani: moved from up top, added source, edit resp component & comparison		peripheral blood mononuclear cell	CL:2000001	CD27+ CD38hi plasmablasts	cell type frequency	up for	none	7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		pan	Pandemrix	VO_0000410					responder vs non-responder	178	adults (18-64)	AS03 (GSK)			26726811	2016	Fig 4d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F4/	- roughly 60/40 female:male ratio, over 70% were Causasian			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/	adults, seniors	18	64	years	
