	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	Simranpreet	Amani	2021-06-19	Bronx, New York City	52.99	73.09	years	3	Peripheral Blood Mononuclear Cells	CL:2000001	flow cytometry	IFN-gamma+ CD4+ T cells		cell type frequency	up	CD4+ T-cells in adults w/ mechanical or death (Group 4) before vs after in-vitro stimulation with spike protein	time of hospital admission	30.4-49.6	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32958614	2020-10-07	https://pubmed.ncbi.nlm.nih.gov/32958614/	Fig 3A&B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658796/figure/F3/		
	Simranpreet	Amani	2021-06-19	Bronx, New York City	44.53	74.31	years	11	Peripheral Blood Mononuclear Cells	CL:2000001	flow cytometry	CD25+ CD4+ T cells		cell type frequency	up	CD4+ T-cells in adults w/ no mechanical ventilation (Group 3) before vs after in-vitro stimulation with spike protein; CD4+ T-cells in adults w/ mechanical ventilation or death (Group 4) before vs after in-vitro stimulation with spike protein	time of hospital admission	30.4-49.6	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32958614	2020-10-07	https://pubmed.ncbi.nlm.nih.gov/32958614/	Fig 3C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658796/figure/F3/		
	Simranpreet	Amani	2021-06-19	Bronx, New York City	3.87	74.31	years	71	Serum	BTO_0001239	ELISA	anti-SARS-CoV-2 spike protein IgG1:anti-SARS-CoV-2 spike protein IgG3		protein/cytokine levels	up	Age<24 w/ MIS-C (Group 2) vs Age<24 w/ no mechanical ventilation (Group 1); Age<24 w/ MIS-C (Group 2) vs Adult w/ no mechanical ventilation (Group 3); Age<24 w/ MIS-C (Group 2) vs Age<24 w/ mechanical ventilation or death (Group 4)				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32958614	2020-10-07	https://pubmed.ncbi.nlm.nih.gov/32958614/	Fig 4E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658796/figure/F4/		
	Simranpreet	Amani	2021-06-19	Bronx, New York City				32	Serum	BTO_0001239		IFN-gamma		protein/cytokine levels	negatively correlated	neutralization activity of anti-SARS-CoV-2 spike protein IgG				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32958614	2020-10-07	https://pubmed.ncbi.nlm.nih.gov/32958614/	Fig 5D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658796/figure/F5/	According to the text (Section: Immunoglobulin responses in patients with COVID-19), area under the curve (AUC) of Fig. 5A was used as a measure of neutralization activity of anti-SARS-CoV-2 spike protein IgG.	
	Simranpreet	Amani	2021-06-19	Bronx, New York City				32	Serum	BTO_0001239		IL-17A		protein/cytokine levels	negatively correlated	neutralization activity of anti-SARS-CoV-2 spike protein IgG				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32958614	2020-10-07	https://pubmed.ncbi.nlm.nih.gov/32958614/	Fig 5E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658796/figure/F5/	According to the text (Section: Immunoglobulin responses in patients with COVID-19), area under the curve (AUC) of Fig. 5A was used as a measure of neutralization activity of anti-SARS-CoV-2 spike protein IgG.	
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Serum	BTO_0001239	laboratory data	C-reactive protein		protein/cytokine levels	up	Severe vs Mild 	time of symptom onset	5-20	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Table 2	https://academic.oup.com/view-large/211133831		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Whole Blood	UBERON:0000178	laboratory data	Eosinophils; Monocytes		cell type frequency	down	Severe vs Mild 	time of symptom onset	5-20	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Table 2	https://academic.oup.com/view-large/211133831		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Whole Blood	UBERON:0000178		SS-hi CD15+ Granulocytes; SS-hi CD15+ CD16+ Granulocytes; SS-hi CD16+ Granulocytes; PD1+ CD56+ CD3- NK Cells; PD-L1+ CD56+ CD3- NK Cells; CD3+ CD4+ CCR7+ PD1+ T cells		cell type frequency	up	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Whole Blood	UBERON:0000178		CD3- CD56- Lymphocytes; SS-low CRTH2+ Basophils; CD4+ SS-med CD14+ Monocytes; NKG2D+ NKp46+ NK Cells		cell type frequency	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Whole Blood	UBERON:0000178		CD3+ T cells		cell type frequency	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Suppl Fig 2A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/jid/article/222/12/1985/5907982#supplementary-data		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Whole Blood	UBERON:0000178		CD3+ CD4+ T cells		cell type frequency	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Suppl Fig 2B	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/jid/article/222/12/1985/5907982#supplementary-data		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Whole Blood	UBERON:0000178		lineage- CD11c- HLA-DR+ CD123+ pDCs		cell type frequency	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Suppl Fig 2C	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/jid/article/222/12/1985/5907982#supplementary-data		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Whole Blood	UBERON:0000178		CD3+ CD8+ T cells		cell type frequency	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Suppl Fig 2D	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/jid/article/222/12/1985/5907982#supplementary-data		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	SS-hi Granulocyte			CD64		gene expression	up	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	CD3+ CD4+ CCR7+ PD1+ T cell			CCR7		gene expression	up	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	CD3+ CD4+ CD27+ CD45RA+ T cell			CCR7		gene expression	up	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Lineage- CD11c+ HLA-DR+ mDC			CD1c		gene expression	up	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	SS-hi CRTH2+ Eosinophil			CD66b		gene expression	up	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	SS-hi CRTH2+ Eosinophil			CRTH2		gene expression	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Fig 2B	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/view-large/figure/211133835/jiaa591_fig2.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	SS-hi CD15+ Granulocyte			CD16		gene expression	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	SS-low CRTH2+ Basophil			CRTH2		gene expression	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Fig 2B	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/view-large/figure/211133835/jiaa591_fig2.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	SS-low CRTH2+ Basophil			CD11b		gene expression	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Fig 2C	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/view-large/figure/211133835/jiaa591_fig2.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	SS-hi CD15+ Granulocyte			CD11b		gene expression	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Fig 2C	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/view-large/figure/211133835/jiaa591_fig2.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Monocyte	CL:0000576		HLA-DR		gene expression	down	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Whole Blood	UBERON:0000178		Basophils		cell type frequency	down	COVID-19 Patients vs Healthy Blood Donors				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 2A	https://academic.oup.com/view-large/figure/211133835/jiaa591_fig2.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	31	74	years	51	Whole Blood	UBERON:0000178		SSʰᴵ CD15+ Granulocytes		cell type frequency	up	COVID-19 Patients vs Healthy Blood Donors	time of infection	10	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 1A, Fig 2A	https://academic.oup.com/view-large/figure/211133834/jiaa591_fig1.jpg https://academic.oup.com/view-large/figure/211133835/jiaa591_fig2.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Serum	BTO_0001239		lineage- CD11C- HLA-DR+ CD123+ pDCs; CD4+ SS-med CD14+ Monocytes; CD3+ Lymphocytes; NKG2D+ NKp46+ NK Cells; CD3- CD56- Lymphocytes; CD16+ CD56+ CD3- NK Cells; SS-low CRTH2+ Basophils		cell type frequency	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Serum	BTO_0001239		SS-hi CD15+ Granulocytes; SS-low CRTH2- PD-L1+ Basophils; SS-hi CD15+ CD16+ Granulocytes; SS-hi CD16+ Granulocytes; PD-L1+ CD56+ CD3- NK Cells; SS-hi CD16+ Granulocytes		cell type frequency	up	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Serum	BTO_0001239		PDL1+ NK Cells		cell type frequency	up	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Suppl Fig 3A	https://academic.oup.com/jid/article/222/12/1985/5907982#supplementary-data		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Monocyte	CL:0000576		HLA-DR		gene expression	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A, Suppl Fig 3C	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg https://academic.oup.com/jid/article/222/12/1985/5907982#supplementary-data		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	T cell	CL:0000084		PD-1		gene expression	up	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	"Partners of the Granylocyte Signature" text. Last Paragraph in Results section.	https://academic.oup.com/jid/article/222/12/1985/5907982#211133828		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	SS-hi CRTH2+ Eosinophil			PD-L1		gene expression	up	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	CD45+ Leukocyte			CD69		gene expression	up	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Lineage- CD11c+ HLA-DR+ mDC			CD1c		gene expression	up	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Monocyte	CL:0000576		CD4, CD64		gene expression	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	SS-hi CRTH2+ Eosinophil			CRTH2		gene expression	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	SS-hi CD15+ Granulocyte			CD15, CD11b		gene expression	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	SS-hi CD15+ Granulocyte			CD16		gene expression	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A, Fig 4A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg https://academic.oup.com/view-large/figure/211133839/jiaa591_fig4.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	NKG2D+ NKp46+ NK Cells			NKp46		gene expression	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	SS-low CRTH2+ Basophil			CD11b		gene expression	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 3A	https://academic.oup.com/view-large/figure/211133838/jiaa591_fig3.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Eosinophil	CL:000071		CRTH2		gene expression	down	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 4B	https://academic.oup.com/view-large/figure/211133839/jiaa591_fig4.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Eosinophil	CL:000071		PD-L1		gene expression	up	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 4C	https://academic.oup.com/view-large/figure/211133839/jiaa591_fig4.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Basophil	CL:0000767		PD-L1		gene expression	up	Severe vs Mild/Moderate				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 4D	https://academic.oup.com/view-large/figure/211133839/jiaa591_fig4.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	SS-hi CD15+ Granulocyte			CD11b		gene expression	negatively correlated	SOFA clinical severity score				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 5A	https://academic.oup.com/view-large/figure/211133841/jiaa591_fig5.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Eosinophil	CL:000071		CRTH2		gene expression	negatively correlated	SOFA clinical severity score				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 5B	https://academic.oup.com/view-large/figure/211133841/jiaa591_fig5.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Basophil	CL:0000767		PD-L1		gene expression	positively correlated	WHO clinical severity score				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 5C	https://academic.oup.com/view-large/figure/211133841/jiaa591_fig5.jpg		
	Simranpreet	Amani	2021-06-19	Marseille, France	49	75	years	26	Eosinophil	CL:000071		PD-L1		gene expression	positively correlated	SOFA clinical severity score				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32941618	2020-09-17	https://academic.oup.com/jid/article/222/12/1985/5907982	Fig 5D	https://academic.oup.com/view-large/figure/211133841/jiaa591_fig5.jpg		
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000000	FACS	CD3- CD56+ NK cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 1A	https://www.nature.com/articles/s41423-020-00557-9/figures/1	Significant changes are seen in the absolute value of CD3-/CD56+ NK cells.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	immature CD56-bright NK cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 1B	https://www.nature.com/articles/s41423-020-00557-9/figures/1	Significant changes are seen in the percentage of immature CD56-bright NK cells.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	32	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	immature CD56-bright NK cells		cell type frequency	down	SARS-CoV-2 deceased patients vs SARS-CoV-2 surviving patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 1B	https://www.nature.com/articles/s41423-020-00557-9/figures/1	Significant changes are seen in the percentage of immature CD56-bright NK cells.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	mature CD57+ NK cells		cell type frequency	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 1C	https://www.nature.com/articles/s41423-020-00557-9/figures/1	Significant changes are seen in the percentage of immature mature CD57+ NK cells.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	32	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	mature CD56-dim CD57+ NK cells		cell type frequency	up	SARS-CoV-2 deceased patients vs SARS-CoV-2 surviving patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 1C	https://www.nature.com/articles/s41423-020-00557-9/figures/1	Significant changes are seen in the percentage of mature CD56-dim CD57+ NK cells.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	32	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	FCepsilonRly- CD56+ CD57+ NK cells		cell type frequency	up	SARS-CoV-2 deceased patients vs SARS-CoV-2 surviving patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 1D	https://www.nature.com/articles/s41423-020-00557-9/figures/1	Significant changes are seen in the percentage of FCepsilonRIγ- CD56+ CD57+ NK cells.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD69+ NK cells		cell type frequency	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 2A	https://www.nature.com/articles/s41423-020-00557-9/figures/2	Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	TIM-3+ NK cells		cell type frequency	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 2B	https://www.nature.com/articles/s41423-020-00557-9/figures/2	Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	PD1+ NK cells		cell type frequency	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 2C	https://www.nature.com/articles/s41423-020-00557-9/figures/2	Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	NKG2D+ NK cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 2D	https://www.nature.com/articles/s41423-020-00557-9/figures/2	Significant changes are seen in the percentage of the given cell.	
