"","submission_name","submission_date","template_name","response_component","curation_date","cohort","age_min","age_max","age_units","number_subjects","tissue_type","tissue_type_term_id","response_component_original","is_model","response_behavior_type","response_behavior","comparison","baseline_time_event","time_point","time_point_units","additional_exposure_material","target_pathogen_taxonid","vaccine_year","adjuvant","route","scheduling","publication_reference_id","publication_reference_url","publication_date","signature_source","signature_source_url","comments","response_comp_orig_cnt","response_comp_cnt","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete","exposure_material_id_1","exposure_material_id_2"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","FCN1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","FCN1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","FCER1G","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","FCER1G","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","NLRP3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","NLRP3","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PCK2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PCK2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","ZFYVE26","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","ZFYVE26","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SLC37A2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SLC37A2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","ACTA2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","ACTA2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","ACOT9","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","ACOT9","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SOCS1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SOCS1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","TICAM1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","TICAM1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SUSD1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SUSD1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CCL8","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CCL8","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","GZMB","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","GZMB","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CD163","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CD163","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","ADA","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","ADA","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CMPK2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CMPK2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","IL15","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IL15","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","DYNLT1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","DYNLT1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CD36","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CD36","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","IDO1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IDO1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SERTAD1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SERTAD1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SIL1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SIL1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SQOR","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SQOR","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","TNS3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","TNS3","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SORT1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SORT1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","FAM8A1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","FAM8A1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","MT1F","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MT1F","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","DPYSL2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","DPYSL2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","NRROS","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","NRROS","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","RNF135","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","RNF135","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","HLA-A","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","HLA-A","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","GORASP1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","GORASP1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","MARCKS","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MARCKS","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","ALDH3B1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","ALDH3B1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","MOB3C","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MOB3C","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PATL1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PATL1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","GNGT2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","GNGT2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","ANKRD22","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","ANKRD22","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","RAB8A","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","RAB8A","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PPM1K","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PPM1K","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","TTC38","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","TTC38","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","EMILIN2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","EMILIN2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
