""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 1E"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_7_1265"
""	"natural killer cell (low forward scatter A and CD3-,CD7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7+ FSC-Alow NK cells of CD3- cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 1E"	""	"CL_0000623"	"(low forward scatter A and CD3-,CD7+)"	"PR:000001020,PR:000001836"	"natural killer cell (low forward scatter A and CD3-,CD7+)"	"1"	"1"	"33391280_8_1266"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 1E"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_9_1267"
""	"natural killer cell (low forward scatter A and CD3-,CD7+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7+ FSC-Alow NK cells of CD3- cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 1E"	""	"CL_0000623"	"(low forward scatter A and CD3-,CD7+)"	"PR:000001020,PR:000001836"	"natural killer cell (low forward scatter A and CD3-,CD7+)"	"1"	"1"	"33391280_10_1268"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 1E"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_11_1269"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 1E"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_12_1270"
""	"natural killer cell (low forward scatter A and CD3-,CD7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7+ FSC-Alow NK cells of CD3- cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000623"	"(low forward scatter A and CD3-,CD7+)"	"PR:000001020,PR:000001836"	"natural killer cell (low forward scatter A and CD3-,CD7+)"	"1"	"1"	"33391280_13_1271"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_14_1272"
""	"natural killer cell (low forward scatter A and CD3-,CD7+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7+ FSC-Alow NK cells of CD3- cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000623"	"(low forward scatter A and CD3-,CD7+)"	"PR:000001020,PR:000001836"	"natural killer cell (low forward scatter A and CD3-,CD7+)"	"1"	"1"	"33391280_15_1273"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_16_1274"
""	"natural killer cell (low forward scatter A and CD3-,CD7+)"	""	"COVID-19 cases (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7+ FSC-Alow NK cells of CD3- cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000623"	"(low forward scatter A and CD3-,CD7+)"	"PR:000001020,PR:000001836"	"natural killer cell (low forward scatter A and CD3-,CD7+)"	"1"	"1"	"33391280_17_1275"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_18_1276"
""	"natural killer cell (low forward scatter A and CD3-,CD7+)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7+ FSC-Alow NK cells of CD3- cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000623"	"(low forward scatter A and CD3-,CD7+)"	"PR:000001020,PR:000001836"	"natural killer cell (low forward scatter A and CD3-,CD7+)"	"1"	"1"	"33391280_19_1277"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_20_1278"
""	"natural killer cell (low forward scatter A and CD3-,CD7+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7+ FSC-Alow NK cells of CD3- cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000623"	"(low forward scatter A and CD3-,CD7+)"	"PR:000001020,PR:000001836"	"natural killer cell (low forward scatter A and CD3-,CD7+)"	"1"	"1"	"33391280_21_1279"
""	"monocyte (high forward scatter A and CD3-,CD7-)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7- FSC-Ahigh monocytes of CD3- cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2A"	""	"CL_0000576"	"(high forward scatter A and CD3-,CD7-)"	"PR:000001020,PR:000001836"	"monocyte (high forward scatter A and CD3-,CD7-)"	"2"	"1"	"33391280_22_1280"
""	"natural killer cell (low forward scatter A and CD3-,CD7+)"	""	"severe COVID-19 cases (Rome, Italy)"	"47"	"76"	"years"	"77"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD7+ FSC-Alow NK cells of CD3- cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 ICU vs SARS CoV-2 non-ICU"	"time of diagnosis"	"unspecified"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 2C"	""	"CL_0000623"	"(low forward scatter A and CD3-,CD7+)"	"PR:000001020,PR:000001836"	"natural killer cell (low forward scatter A and CD3-,CD7+)"	"1"	"1"	"33391280_23_1281"
""	"cd14-positive, cd16-positive monocyte"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD14+ CD16++ non-classical monocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 3B"	""	"CL_0002397"	""	""	"cd14-positive, cd16-positive monocyte"	"1"	"1"	"33391280_24_1282"
""	"cd14-positive, cd16-positive monocyte"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD14+ CD16++ non-classical monocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 3B"	""	"CL_0002397"	""	""	"cd14-positive, cd16-positive monocyte"	"1"	"1"	"33391280_25_1283"
""	"cd14-positive, cd16-positive monocyte"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD14+ CD16++ non-classical monocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 3B"	""	"CL_0002397"	""	""	"cd14-positive, cd16-positive monocyte"	"1"	"1"	"33391280_26_1284"
""	"t cell"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ T cells of lymphocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4A, Fig S2A"	""	"CL_0000084"	""	""	"t cell"	"1"	"1"	"33391280_27_1287"
""	"t cell"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ T cells of lymphocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2A"	""	"CL_0000084"	""	""	"t cell"	"1"	"1"	"33391280_28_1288"
""	"t cell"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ T cells of lymphocytes"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2A"	""	"CL_0000084"	""	""	"t cell"	"1"	"1"	"33391280_29_1289"
""	"t cell"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"48.5"	"years"	"48"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ T cells of lymphocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 asymptomatic vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2A"	""	"CL_0000084"	""	""	"t cell"	"1"	"1"	"33391280_30_1290"
""	"t cell"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ T cells of lymphocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4A"	""	"CL_0000084"	""	""	"t cell"	"1"	"1"	"33391280_31_1291"
""	"cd4-positive, alpha-beta t cell"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ T cells of CD3+ cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2A"	""	"CL_0000624"	""	""	"cd4-positive, alpha-beta t cell"	"1"	"1"	"33391280_32_1292"
""	"cd8-positive, alpha-beta t cell"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ T cells of CD3+ cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2A"	""	"CL_0000625"	""	""	"cd8-positive, alpha-beta t cell"	"1"	"1"	"33391280_33_1293"
""	"cd4-positive, alpha-beta t cell"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ T cells of CD3+ cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2A"	""	"CL_0000624"	""	""	"cd4-positive, alpha-beta t cell"	"1"	"1"	"33391280_34_1294"
""	"cd8-positive, alpha-beta t cell"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"48.5"	"years"	"48"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ T cells of CD3+ cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 asymptomatic vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2A"	""	"CL_0000625"	""	""	"cd8-positive, alpha-beta t cell"	"1"	"1"	"33391280_35_1295"
""	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ HLADR+ T cells of CD4+ T cells; CD8+ HLADR+ T cells of CD8+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4B, Fig S2B"	""	"CL_0000896"	"(HLADRA+)"	"PR:000002015"	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	"2"	"2"	"33391280_36_1296"
""	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ HLADR+ T cells of CD4+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4B, Fig S2B"	""	"CL_0000896"	"(HLADRA+)"	"PR:000002015"	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	"1"	"1"	"33391280_37_1297"
""	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ HLADR+ T cells of CD8+ T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2B"	""	"CL_0000896"	"(HLADRA+)"	"PR:000002015"	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	"1"	"1"	"33391280_38_1298"
""	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"48.5"	"years"	"48"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ HLADR+ T cells of CD8+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 asymptomatic vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2B"	""	"CL_0000896"	"(HLADRA+)"	"PR:000002015"	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	"1"	"1"	"33391280_39_1299"
""	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ HLADR+ T cells of CD8+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4B, Fig S2B"	""	"CL_0000896"	"(HLADRA+)"	"PR:000002015"	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	"1"	"1"	"33391280_40_1300"
""	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ HLADR+ T cells of CD8+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4B, Fig S2B"	""	"CL_0000896"	"(HLADRA+)"	"PR:000002015"	"activated cd4-positive, alpha-beta t cell (HLADRA+)"	"1"	"1"	"33391280_41_1301"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"48.5"	"years"	"48"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31+ CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4C, Fig S2C"	""	"CL_0000895"	"(CD31+,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	"1"	"1"	"33391280_42_1302"
